dateDay,city,plate,noBookings
2017-09-05,Amsterdam,15,15
2017-09-05,Austin,15,15
2017-09-05,Berlin,73,74
2017-09-05,Calgary,82,84
2017-09-05,Columbus,8,8
2017-09-05,Denver,19,19
2017-09-05,Firenze,13,13
2017-09-05,Frankfurt,16,16
2017-09-05,Hamburg,51,51
2017-09-05,Madrid,55,55
2017-09-05,Milano,109,110
2017-09-05,Montreal,40,40
2017-09-05,Munchen,15,17
2017-09-05,New York City,32,34
2017-09-05,Portland,42,43
2017-09-05,Rheinland,19,19
2017-09-05,Roma,26,28
2017-09-05,Seattle,62,63
2017-09-05,Stuttgart,23,23
2017-09-05,Torino,20,20
2017-09-05,Toronto,40,44
2017-09-05,Vancouver,106,108
2017-09-05,Washington DC,56,57
2017-09-05,Wien,43,44
